lemma	reconstructed_semitic_forms
chinidial	kndyᶜl
chinisdo	
chinithi	
chinithius	
chinitiu[	
chirit	
chiteos	
cholobonius	
chubud	kbdmlqrt, kbᶜštrt
chubudis	
chubudit	
chubur	
chulam	
chullam	
chunin	
chyrdidry	
ciccisa	
cicisa	
cicot	
cidonis	
cilleno	
cimbae	
cincittinio	
cinin	
cinitius	
cinneae	
cinsonius	
ciri	
ciribo	
ciripittate	
cirrin	
cirrus	
cirus	
cisasa	
cisi	
citeus	
citibus	
citin	
citina	
citini	
citinus	
cititius	
citteus	
cittin	qṭ
cittina	
cittindim	
cittine	
cittini	
cittinim	
cittinus	
cituitia	
citus	
ciudus	
cizau	
cocas	
coccoitchanus	
codd[ea]	
codde	qdš
coddei	
coddeus	
coddius	
coddosa	qdš
codenis	gdnᶜm
codes[	
codra	
cogilla	
cogutan	
coihonis	
coini	
coiuzanis	
colobonius	
conunian	
coruda	
corus	
cosgonius	
cosina	
cota	
cotinus	
cottinus	
cotuzanis	
couuldonia	ᵓdn
crira	
cronha	
cubdido	
cubulio	
cuca	
cuccas	
cucosa	
cudai	
cudeus	
cudilu	gdᵓl
cudin[ ]	
cudin/cudai	
cududas	
cududia	
cududus	
cuduli	
cudullus	
cudulus	
culib	
cullan	
cullen	
cullube	
cund[	
cundot	
cunilia	qnᵓl
curai	
cursen	
curtilius	
curunni	
cusanrasi	
cusina	
cusoris	kšr
cutai	
cutaiv	
cutiae	
cutilia	
cutilius	gdᵓl
cutin	
cutruiia	
cutta	
cutteo	
cutteus	
cuttia	
cuttinus	
cutu[	
cutula	
cutullus	
cututia	
cutzara	
cutzupitarum	
cynasin	KNIšN
dabar	tšdbᶜr
dabarem	
dabaris	
dadarianus	
dafi	
dago	
dailua	
damioni	
damon	
daretis	
daris	
dasama	
derci	
deusonii	
diaboro	
diabulla	
dialecis	
dibusteribt	
dicar	
dida	
didda	
didei	
dideiia	
didia	
didii	
didin	
didius	
dido	
didose	
didustius	
dirlia	
dischunis	
discun	ᶜbdskn
disen	
dixon	
dlns	
dona	
donnus	
donta	
dontius	ᵓdn
dubb	
dubbainar	
dubila	
duda	
dudate	
dudda	
duddasi	
dude	
duddina	
duded	
dudit	
dudulius	
durpii	
duruia	
dyrus	
earbal	yḥ(r)bᶜl
earin	
easuctan	
ebasius	
